popit_id,township_en,township_mm,state,constituency_pyithu,constituency_amyotha
,Ahlone,အလုံမဲဆန္ဒနယ်,Yangon,Ahlone,Yangon-6
,Amarapura,အမရပူရမဲဆန္ဒနယ်,Mandalay,Amarapura,Mandalay-2
,Ann,အမ်းမဲဆန္ဒနယ်,Rakhine,Ann,Rakhine-11
,Aunglan,အောင်လံမြို့နယ်,Magway,Aunglan,Magway-8
,Aungmyaythazan,အောင်မြေသာစံမဲဆန္ဒနယ်,Mandalay,Aungmyaythazan,Mandalay-1
,Ayadaw,အရာတော်မဲဆန္ဒနယ်,Sagaing,Ayadaw,Sagaing-4
,Bago,ပဲခူးမဲဆန္ဒနယ်,Bago,Bago,Bago-1
,Bahan,ဗဟန်းမဲဆန္ဒနယ်,Yangon,Bahan,Yangon-5
,Banmauk,ဗန်းမောက်မဲဆန္ဒနယ်,Sagaing,Banmauk,Sagaing-7
,Bawlake,ဘောလခဲမဲဆန္ဒနယ်,Kayah,Bawlakhe,"Kayah-8, Kayah-9"
,Bhamo,ဗန်းမော်မဲဆန္ဒနယ်,Kachin,Bhamo,Kachin-10
,Bilin,ဘီးလင်းမဲဆန္ဒနယ်,Mon,Bilin,Mon-12
,Bogale,ဘိုကလေးမဲဆန္ဒနယ်,Ayeyawaddy,Bogale,Ayeyawaddy-11
,Bokpyin,ဘုတ်ပြင်းမဲဆန္ဒနယ်,Tanintharyi,Bokpyin,Taninthayi-12
,Botahtaung,ဗိုလ်တထောင်မဲဆန္ဒနယ်,Yangon,Botataung,Yangon-4
,Budalin,ဘုတလင်မဲဆန္ဒနယ်,Sagaing,Budalin,Sagaing-4
,Buthidaung,ဘူးသီးတောင်မဲဆန္ဒနယ်,Rakhine,Buthidaung,Rakhine-9
,Chanayethazan,ချမ်းအေးသာစံမဲဆန္ဒနယ်,Mandalay,Chanayethazan,Mandalay-1
,Chanmyathazi,ချမ်းမြသာစည်မဲဆန္ဒနယ်,Mandalay,Chanmyathazi,Mandalay-2
,Chauk,ချောက်မြို့နယ်,Magway,Chauck,Magway-2
,Chaung-U,ချောင်းဦးမဲဆန္ဒနယ်,Sagaing,Chaung-U,Sagaing-4
,Chaungzon,ချောင်းဆုံမဲဆန္ဒနယ်,Mon,Chaungzon,Mon-4
,Chipwi,ချီဖွေမဲဆန္ဒနယ်,Kachin,Chipwi,Kachin-5
,Cocokyun,ကိုကိုးကျွန်းမဲဆန္ဒနယ်,Yangon,Cocokyun,Yangon-8
,Dagon,ဒဂုံမဲဆန္ဒနယ်,Yangon,Dagon,Yangon-5
,Dagon Myothit (East),ဒဂုံမြို့သစ်(အရှေ့ပိုင်း)မဲဆန္ဒနယ်,Yangon,East Dagon,Yangon-1
,Dagon Myothit (North),ဒဂုံမြို့သစ်(မြောက်ပိုင်း)မဲဆန္ဒနယ်,Yangon,North Dagon,Yangon-1
,Dagon Myothit (Seikkan),ဒဂုံမြို့သစ်(ဆိပ်ကမ်း)မဲဆန္ဒနယ်,Yangon,Dagon Seikkan,Yangon-2
,Dagon Myothit (South),ဒဂုံမြို့သစ်(တောင်ပိုင်း)မဲဆန္ဒနယ်,Yangon,South Dagon,Yangon-2
,Daik-U,ဒိုက်ဦးမဲဆန္ဒနယ်,Bago,Daik-U,Bago-3
,Dala,ဒလမဲဆန္ဒနယ်,Yangon,Dala,Yangon-8
,Danubyu,ဓနုဖြူမဲဆန္ဒနယ်,Ayeyawaddy,Danuphyu,Ayeyawaddy-9
,Dawbon,ဒေါပုံမဲဆန္ဒနယ်,Yangon,Dawbon,Yangon-4
,Dawei,ထားဝယ်မဲဆန္ဒနယ်,Tanintharyi,Dawei,Taninthayi-1
,Dedaye,ဒေးဒရဲမဲဆန္ဒနယ်,Ayeyawaddy,Dedaye,Ayeyawaddy-10
,Demoso,ဒီးမော့ဆိုမဲဆန္ဒနယ်,Kayah,Demoso,"Kayah-3, Kayah-4"
,Det Khi Na Thi Ri,ဒက္ခိဏသီရိမဲဆန္ဒနယ်,Union Territory,Dekkhinathiri,Mandalay-10
,Einme,အိမ်မဲမဲဆန္ဒနယ်,Ayeyawaddy,Einme,Ayeyawaddy-7
,Falam,ဖလမ်းမဲဆန္ဒနယ်,Chin,Falam,Chin-4
,Gangaw,ဂန့်ဂေါမြို့နယ်,Magway,Gangaw,Magway-12
,Gwa,ဂွမဲဆန္ဒနယ်,Rakhine,Gwa,Rakhine-12
,Gyobingauk,ကြို့ပင်ကောက်မဲဆန္ဒနယ်,Bago,Gyobingauk,Bago-12
,Hakha,ဟားခါးမဲဆန္ဒနယ်,Chin,Hakha,Chin-1
,Hinthada,ဟင်္သာတမဲဆန္ဒနယ်,Ayeyawaddy,Hinthada,Ayeyawaddy-4
,Hkamti,ခန္တီးမဲဆန္ဒနယ်,Sagaing,Hkamti,Sagaing-11
,Hlaing,လှိုင်မဲဆန္ဒနယ်,Yangon,Hlaing,Yangon-6
