Popit_id,name_en,name_mm,parent_org,classification,geographic_area,description,start_date,end_date,image,contact,links
,Amyotha Hluttaw,အမျိုးသားလွှတ်တော် ,ပြည်ထောင်စုလွှတ်တော်,လွှတ်တော်,တစ်နိုင်ငံလုံး,,,,,,
,Pyithu Hluttaw,ပြည်သူ့လွှတ်တော်,ပြည်ထောင်စုလွှတ်တော်,လွှတ်တော်,တစ်နိုင်ငံလုံး,,,,,,
,,,,,,,,,,,
,Kachin State Hluttaw,ကချင်ပြည်နယ်လွှတ်တော်,ကချင်ပြည်နယ်,လွှတ်တော်,ကချင်ပြည်နယ်,,,,,,
,Kayah State Hluttaw,ကယားပြည်နယ်လွှတ်တော်,ကယားပြည်နယ်,လွှတ်တော်,ကယားပြည်နယ်,,,,,,
,Kayin State Hluttaw,ကရင်ပြည်နယ်လွှတ်တော်,ကရင်ပြည်နယ်,လွှတ်တော်,ကရင်ပြည်နယ်,,,,,,
,Chin State Hluttaw,ချင်းပြည်နယ်လွှတ်တော်,ချင်းပြည်နယ်,လွှတ်တော်,ချင်းပြည်နယ်,,,,,,
,Sagaing Region Hluttaw,စစ်ကိုင်းတိုင်းဒေသကြီးလွှတ်တော်,စစ်ကိုင်းတိုင်း,လွှတ်တော်,စစ်ကိုင်းတိုင်း,,,,,,
,Taninthayi Region Hluttaw,တင်္နသာရီတိုင်းဒေသကြီးလွှတ်တော်,တင်္နသာရီတိုင်းဒေသကြီး,လွှတ်တော်,တင်္နသာရီတိုင်းဒေသကြီး,,,,,,
,Bago Region Hluttaw,ပဲခူးတိုင်းဒေသကြီးလွှတ်တော်,ပဲခူးတိုင်းဒေသကြီး,လွှတ်တော်,ပဲခူးတိုင်းဒေသကြီး,,,,,,
,Magway Region Hluttaw,မကွေးတိုင်းဒေသကြီးလွှတ်တော်,မကွေးတိုင်းးဒေသကြီး,လွှတ်တော်,မကွေးတိုင်းးဒေသကြီး,,,,,,
,Mandalay Region Hluttaw,မန္တလေးတိုင်းဒေသကြီးလွှတ်တော်,မန္တလေးတိုင်းဒေသကြီး,လွှတ်တော်,မန္တလေးတိုင်းဒေသကြီး,,,,,,
,Mon State Hluttaw,မွန်ပြည်နယ်လွှတ်တော်,မွန်ပြည်နယ်,လွှတ်တော်,မွန်ပြည်နယ်,,,,,,
,Rakhine State Hluttaw,ရခိုင်ပြည်နယ်လွှတ်တော်,ရခိုင်ပြည်နယ်,လွှတ်တော်,ရခိုင်ပြည်နယ်,,,,,,
,Yangon Region Hluttaw,ရန်ကုန်တိုင်းဒေသကြီးလွှတ်တော်,ရန်ကုန်တိုင်းဒေသကြီး,လွှတ်တော်,ရန်ကုန်တိုင်းဒေသကြီး,,,,,,
,Shan State Hluttaw,ရှမ်းပြည်နယ်လွှတ်တော်,ရှမ်းပြည်နယ်,လွှတ်တော်,ရှမ်းပြည်နယ်,,,,,,
,Ayeyawaddy Region Hluttaw,ဧရာ၀တီတိုင်းဒေသကြီးလွှတ်တော်,ဧရာ၀တီတိုင်းဒေသကြီး,လွှတ်တော်,ဧရာ၀တီတိုင်းဒေသကြီး,,,,,,
,,,,,,,,,,,
,Pyihtaungsu Hluttaw Public ,ပြည်ထောင်စုလွှတ်တော် ပြည်သူ့ငွေစာရင်းပူးပေါင်းကော်မတီ,ပြည်ထောင်စုလွှတ်တော်,ကော်မတီ,,,,,,,
,,,,,,,,,,,
,Amyotha Hluttaw Educational Development Committee,အမျိုးသားလွှတ်တော် ပညာရေးမြှင့်တင်မှုကော်မတီ,အမျိုးသားလွှတ်တော် ,ကော်မတီ,,,,,,,
,Amyotha Hluttaw Public Complaints Committee,အမျိုးသားလွှတ်တော ပြည်သူတို့၏ တိုင်ကြားစာဆိုင်ရာကော်မတီ,အမျိုးသားလွှတ်တော် ,ကော်မတီ,,,,,,,
,Amyotha Hluttaw Ethnic Affairs Committee,အမျိုးသားလွှတ်တော် တိုင်းရင်းသားရေးရာကော်မတီ,အမျိုးသားလွှတ်တော် ,ကော်မတီ,,,,,,,
,Amyotha Hluttaw Farmers Affairs Committee ,အမျိုးသားလွှတ်တော် တောင်သူလယ်သမားရေးရာကော်မတီ,အမျိုးသားလွှတ်တော် ,ကော်မတီ,,,,,,,
,"Amyotha Hluttaw Health, Sports and Culture Committee",အမျိုးသားလွှတ်တော်လွှတ်တော် ကျန်းမာရေး၊အားကစားနှင့်ယဉ်ကျေးမှုဆိုင်ရာကော်မတီ,အမျိုးသားလွှတ်တော် ,ကော်မတီ,,,,,,,
,"Amyotha Hluttaw International Relations, Inter-parlimentary Relationship & Cooperation Committee",အမျိုးသားလွှတ်တော် နိုင်ငံတကာဆက်ဆံရေး၊ လွှတ်တော်ချင်းချစ်ကြည်ရေးနှင့် ပူးပေါင်းဆောင်ရွက်ရေးကော်မတီ,အမျိုးသားလွှတ်တော် ,ကော်မတီ,,,,,,,
,Amyotha Hluttaw Domestic and Foreign Labourers Committee ,အမျိုးသားလွှတ်တော် ပြည်တွင်းပြည်ပအလုပ်သမားဆိုင်ရာကော်မတီ,အမျိုးသားလွှတ်တော် ,ကော်မတီ,,,,,,,
,Amyotha Hluttaw Local and International Non-Government Organizations Committee,အမျိုးသားလွှတ်တော်အစိုးရမဟုတ်သော ပြည်တွင်းပြည်ပ အဖွဲ့အစည်းများဆိုင်ရာကော်မတီ,အမျိုးသားလွှတ်တော် ,ကော်မတီ,,,,,,,
,Amyotha Hluttaw Mineral Resources and Environmental Preservation Committee,အမျိုးသားလွှတ်တော် သတ္တုသယံဇာတနှင့်သဘာဝပတ်ဝန်းကျင်ထိန်းသိမ်းရေးဆိုင်ရာကော်မတီ,အမျိုးသားလွှတ်တော် ,ကော်မတီ,,,,,,,
,Amyotha Hluttaw Women and Children Rights Committee,အမျိုးသားလွှတ်တော် အမျိုးသမီးနှင့်ကလေးသူငယ်အခွင့်အရေးဆိုင်ရာကော်မတီ,အမျိုးသားလွှတ်တော် ,ကော်မတီ,,,,,,,
,Amyotha Hluttaw Hluttaw Rights Committee,အမျိုးသားလွှတ်တော် လွှတ်တော်အခွင့်အရေးကော်မတီ,အမျိုးသားလွှတ်တော် ,ကော်မတီ,,,,,,,
,Amyotha Hluttaw Bill Committee,အမျိုးသားလွှတ်တော် ဥပဒေကြမ်းကော်မတီ,အမျိုးသားလွှတ်တော် ,ကော်မတီ,,,,,,,
,Amyotha Hluttaw Public Statistics Committee,အမျိုးသားလွှတ်တော် ပြည်သူ့ငွေစာရင်းကော်မတီ,အမျိုးသားလွှတ်တော် ,ကော်မတီ,,,,,,,
